nom;y_lat;nature;domanialite;Timestamp;RowKey;nombre_de_places;x_long;num_quartier;PartitionKey;cle;entityid;geometrie;id;geo_point_2d
gymnase chartrons;44.8561324791254;Surface gratuit;Ville;2019-01-06T07:36:25.8884579Z;cae83563-0e9a-40b3-93d5-314a4e54434b;18;-0.566685002788203;2;2831c30c-f5aa-43ee-873a-474dd8e7e5ee;5085;2831c30c-f5aa-43ee-873a-474dd8e7e5ee;"{""type"": ""Point"", ""coordinates"": [-0.566685002788203, 44.8561324791254]}";29;44.8561324791,-0.566685002788
argonne;44.8278924439515;Surface payant;CUB;2019-01-06T07:36:26.2382828Z;d5d9b0cf-0b0b-4177-a445-09e8b3b4e8a7;23;-0.574697499720383;6;2d351d0d-b88e-4042-809a-8a220f85cbcf;5143;2d351d0d-b88e-4042-809a-8a220f85cbcf;"{""type"": ""Point"", ""coordinates"": [-0.574697499720383, 44.8278924439515]}";12;44.827892444,-0.57469749972
Hopital des Enfants;44.8251624810425;Surface payant;Domaine public;2019-01-06T07:36:26.1377647Z;adeb567a-17a8-452e-ae34-d16cfa7adbdf;30;-0.577751706822724;5;34642e7c-89cd-4ff6-b85f-53f66cf67afe;5103;34642e7c-89cd-4ff6-b85f-53f66cf67afe;"{""type"": ""Point"", ""coordinates"": [-0.577751706822724, 44.8251624810425]}";45;44.825162481,-0.577751706823
pont st emilion dessous;44.8535416627921;Surface gratuit;Domaine public;2019-01-06T07:36:26.1104651Z;98e1f03a-788c-45d1-9047-0e54bd7e8f8d;26;-0.538777463761455;7;820fb718-4e6f-4a8d-a4f5-f5901b3dfa0d;5138;820fb718-4e6f-4a8d-a4f5-f5901b3dfa0d;"{""type"": ""Point"", ""coordinates"": [-0.538777463761455, 44.8535416627921]}";10;44.8535416628,-0.538777463761
pugs bma;44.8442678286503;Surface gratuit;CUB;2019-01-06T07:36:25.7317979Z;31f52e38-3687-4ba7-be8b-10956cd9fae1;60;-0.556670155869995;7;827c254d-8eaf-4c1e-9b6b-c7fbd3138af4;5096;827c254d-8eaf-4c1e-9b6b-c7fbd3138af4;"{""type"": ""Point"", ""coordinates"": [-0.556670155869995, 44.8442678286503]}";22;44.8442678287,-0.55667015587
achard;44.8663953868318;Surface gratuit;Domaine public;2019-01-06T07:36:26.0204609Z;9d495daf-a98a-4344-991b-4a6cb3037e9e;86;-0.548270710400415;1;896959a1-7eec-46a1-a9a2-e75a26e4519f;5092;896959a1-7eec-46a1-a9a2-e75a26e4519f;"{""type"": ""Point"", ""coordinates"": [-0.548270710400415, 44.8663953868318]}";42;44.8663953868,-0.5482707104
Leberthon;44.8280987948673;Surface gratuit;CUB;2019-01-06T07:36:25.8678005Z;73b2693b-9958-42f9-b914-f7569490dc74;7;-0.575523983183044;6;90618c95-a32a-4ab3-ae36-19c0e46618db;5125;90618c95-a32a-4ab3-ae36-19c0e46618db;"{""type"": ""Point"", ""coordinates"": [-0.575523983183044, 44.8280987948673]}";30;44.8280987949,-0.575523983183
abadie;44.8438255436363;Surface gratuit;CUB;2019-01-06T07:36:26.2177655Z;e86bdea7-e417-4b31-bf7c-88371870c2e4;141;-0.555525325279073;7;9140dd53-9a05-4427-8b0d-0f7285028135;5127;9140dd53-9a05-4427-8b0d-0f7285028135;"{""type"": ""Point"", ""coordinates"": [-0.555525325279073, 44.8438255436363]}";18;44.8438255436,-0.555525325279
ornano;44.8319621450381;Surface payant;CUB;2019-01-06T07:36:25.7537542Z;87304b0b-84a2-40c3-bab5-9b003197a39d;26;-0.597321805166433;4;92769c44-b9b3-4ae8-b147-9a266cdcf9bd;5097;92769c44-b9b3-4ae8-b147-9a266cdcf9bd;"{""type"": ""Point"", ""coordinates"": [-0.597321805166433, 44.8319621450381]}";23;44.831962145,-0.597321805166
grand lebrun;44.8484655940158;Surface gratuit;CUB;2019-01-06T07:36:25.9324604Z;23ae1e99-1fa7-46fe-859a-d6357b3e3d5b;39;-0.603214444116831;8;a942b62e-4d4c-46fe-b745-e278f7aee453;5117;a942b62e-4d4c-46fe-b745-e278f7aee453;"{""type"": ""Point"", ""coordinates"": [-0.603214444116831, 44.8484655940158]}";7;44.848465594,-0.603214444117
Marc Nouaux;44.846376747304;Surface gratuit;CUB;2019-01-06T07:36:25.8867585Z;96a747da-9a48-4eaf-a4b0-bd8672e93f67;68;-0.594676841162412;3;c219736e-298d-4f55-a0c9-021abd445750;5119;c219736e-298d-4f55-a0c9-021abd445750;"{""type"": ""Point"", ""coordinates"": [-0.594676841162412, 44.846376747304]}";33;44.8463767473,-0.594676841162
Euromaster;44.848475267245;Surface gratuit;CUB;2019-01-06T07:36:25.948075Z;d3e939a7-1d82-48b7-9079-d7dab3098eab;42;-0.547832027926239;7;c916ae6b-20b9-468d-8378-15864c25e12f;5118;c916ae6b-20b9-468d-8378-15864c25e12f;"{""type"": ""Point"", ""coordinates"": [-0.547832027926239, 44.848475267245]}";32;44.8484752672,-0.547832027926
barreyre;44.8552355170614;Surface gratuit;CUB;2019-01-06T07:36:25.929759Z;0bfa9973-8e1c-4896-940d-003a46f54a38;30;-0.568554433333125;2;ce2b0005-e256-4f46-b623-9826c57edc30;5115;ce2b0005-e256-4f46-b623-9826c57edc30;"{""type"": ""Point"", ""coordinates"": [-0.568554433333125, 44.8552355170614]}";34;44.8552355171,-0.568554433333
pont st jean;44.8299042262419;Surface payant;Domaine public;2019-01-06T07:36:25.7967555Z;f0932164-c0aa-428f-99af-c8f284ca83f3;;-0.555505585041253;6;fd7aeeb2-6249-4970-8db5-94adb48f974e;5088;fd7aeeb2-6249-4970-8db5-94adb48f974e;"{""type"": ""Point"", ""coordinates"": [-0.555505585041253, 44.8299042262419]}";4;44.8299042262,-0.555505585041
Alsace-Lorraine;44.8376504243049;Ouvrage Ville;Ville;2019-01-06T07:36:26.3246663Z;43b579f1-3c25-4921-9e33-7f59fbe863be;128;-0.56848413610652;3;3fedb8ae-c0f0-4b3c-95c6-9beec9a3813a;5149;3fedb8ae-c0f0-4b3c-95c6-9beec9a3813a;"{""type"": ""Point"", ""coordinates"": [-0.56848413610652, 44.8376504243049]}";28;44.8376504243,-0.568484136107
