Equipe,Nom,Poste,Type poste,Date de naissance,Taille (en cm),Poids (en kg)
Toulouse,Charlie FAUMUINA,Pilier,Avant,24/12/1986,184,128
Toulouse,Clément CASTETS,Pilier,Avant,05/05/1996,183,110
Toulouse,Cyril BAILLE,Pilier,Avant,15/09/1993,182,116
Toulouse,Dorian ALDEGHERI,Pilier,Avant,04/08/1993,180,119
Toulouse,Maks VAN DYK,Pilier,Avant,21/01/1992,186,118
Toulouse,Paulo TAFILI,Pilier,Avant,15/02/1996,183,132
Toulouse,Rémy HUGUES,Pilier,Avant,01/01/1986,183,114
Toulouse,Rodrigue NETI,Pilier,Avant,26/04/1995,185,124
Toulouse,Guillaume CRAMONT,Talonneur,Avant,29/12/2000,182,97
Toulouse,Guillaume MARCHAND,Talonneur,Avant,05/06/1998,183,100
Toulouse,Jaco VISAGIE,Talonneur,Avant,08/07/1992,188,105
Toulouse,Julien MARCHAND,Talonneur,Avant,10/05/1995,181,95
Toulouse,Takeshi HINO,Talonneur,Avant,20/01/1990,172,100
Toulouse,Bastien CHALUREAU,2ème ligne,2ème ligne,13/02/1992,202,121
Toulouse,Florian VERHAEGHE,2ème ligne,2ème ligne,27/04/1997,202,108
Toulouse,Iosefa TEKORI,2ème ligne,2ème ligne,17/12/1983,198,127
Toulouse,Richie ARNOLD,2ème ligne,2ème ligne,01/07/1990,208,127
Toulouse,Richie GRAY,2ème ligne,2ème ligne,24/08/1989,206,125
Toulouse,Rory ARNOLD,2ème ligne,2ème ligne,01/07/1990,208,120
Toulouse,Alban PLACINES,3ème ligne,3ème ligne,23/04/1993,189,110
Toulouse,Antoine MIQUEL,3ème ligne,3ème ligne,20/06/1994,192,109
Toulouse,Carl AXTENS,3ème ligne,3ème ligne,26/08/1991,193,117
Toulouse,François CROS,3ème ligne,3ème ligne,25/03/1994,190,95
Toulouse,Gillian GALAN,3ème ligne,3ème ligne,07/08/1991,193,120
Toulouse,Jerome KAINO,3ème ligne,3ème ligne,06/04/1983,196,113
Toulouse,Louis-Benoît MADAULE,3ème ligne,3ème ligne,24/09/1988,190,104
Toulouse,Rynhardt ELSTADT,3ème ligne,3ème ligne,20/12/1989,198,120
Toulouse,Selevasio TOLOFUA,3ème ligne,3ème ligne,31/05/1997,186,115
Toulouse,Antoine DUPONT,Mêlée,Demi,15/11/1996,174,82
Toulouse,Pierre PAGÈS,Mêlée,Demi,16/05/1990,180,78
Toulouse,Sébastien BÉZY,Mêlée,Demi,22/11/1991,174,74
Toulouse,Romain NTAMACK,Ouverture,Demi,01/05/1999,186,84
Toulouse,Tristan TEDDER,Ouverture,Demi,17/04/1996,180,80
Toulouse,Zack HOLMES,Ouverture,Demi,30/05/1990,175,90
Toulouse,Maxime MERMOZ,Centre,Trois-Quarts,28/07/1986,181,93
Toulouse,Pierre FOUYSSAC,Centre,Trois-Quarts,17/03/1995,190,100
Toulouse,Pita AHKI,Centre,Trois-Quarts,24/09/1992,189,97
Toulouse,Théo BELAN,Centre,Trois-Quarts,15/11/1992,187,94
Toulouse,Arthur BONNEVAL,Ailier,Trois-Quarts,31/05/1995,181,82
Toulouse,Cheslin KOLBE,Ailier,Trois-Quarts,28/10/1993,171,80
Toulouse,Lucas TAUZIN,Ailier,Trois-Quarts,21/05/1998,187,98
Toulouse,Sofiane GUITOUNE,Ailier,Trois-Quarts,27/03/1989,186,96
Toulouse,Werner KOK,Ailier,Trois-Quarts,27/01/1993,177,78
Toulouse,Yoann HUGET,Ailier,Trois-Quarts,02/06/1987,190,97
Toulouse,Matthis LEBEL,Arrière,Arrière,25/03/1999,185,91
Toulouse,Maxime MÉDARD,Arrière,Arrière,16/11/1986,180,85
Toulouse,Thomas RAMOS,Arrière,Arrière,23/07/1995,178,86
